u,v,key,osmid,bridge,oneway,lanes,ref,highway,maxspeed,reversed,length,name,tunnel,junction,access,geometry
1484957980,6436344295,0,686659361,,True,2,,secondary,,False,5.105,Avenida Congressos da Oposição Democrática,,,,"LINESTRING (-8.642676 40.6410254, -8.6426858 40.6409801)"
1484957980,7370278455,0,686659365,,True,2,,secondary,50,False,7.229,Avenida Congressos da Oposição Democrática,,,,"LINESTRING (-8.642676 40.6410254, -8.6427543 40.6410518)"
1484957981,1484957976,0,791113503,,True,2,,secondary,,False,7.83,Avenida Congressos da Oposição Democrática,,,,"LINESTRING (-8.6424134 40.6410327, -8.6424997 40.6410586)"
1484957982,5238144738,0,34262443,,True,2,,secondary,,False,6.332,Avenida Congressos da Oposição Democrática,,,,"LINESTRING (-8.6425142 40.6408344, -8.6424393 40.6408308)"
1485115701,1485115759,0,541729721,,True,1,,residential,,False,36.116,Travessa do Dispensário,,,,"LINESTRING (-8.6473138 40.6418108, -8.6477345 40.6418707)"
1485115704,1485115782,0,135430896,,True,,,residential,,False,9.261,Rua Engenheiro Silvério Pereira da Silva,,,,"LINESTRING (-8.6477695 40.6416127, -8.6477744 40.6415295)"
1485115720,1485115704,0,135430896,,True,,,residential,,False,29.869,Rua Engenheiro Silvério Pereira da Silva,,,,"LINESTRING (-8.6478159 40.641879, -8.6477695 40.6416127)"
1485115744,1406433350,0,127003504,,True,,,residential,,False,2.997,,,roundabout,,"LINESTRING (-8.6442672 40.6376464, -8.6442995 40.6376352)"
1485115752,1485115785,0,135430896,,True,,,residential,,False,15.599,Rua Engenheiro Silvério Pereira da Silva,,,,"LINESTRING (-8.647972 40.6412947, -8.6480978 40.6411919)"
1485115759,1485115720,0,541729721,,True,1,,residential,,False,6.93,Travessa do Dispensário,,,,"LINESTRING (-8.6477345 40.6418707, -8.6478159 40.641879)"
1485115769,1406434256,0,794561702,,False,2,,residential,,False,24.284,Cais da Fonte Nova,,,,"LINESTRING (-8.6441139 40.637852, -8.6441974 40.637643)"
1485115769,4846491303,0,794561702,,False,2,,residential,,True,12.07,Cais da Fonte Nova,,,,"LINESTRING (-8.6441139 40.637852, -8.6440708 40.6379555)"
1485115771,4846491303,0,794561702,,False,2,,residential,,False,184.773,Cais da Fonte Nova,,,,"LINESTRING (-8.643409 40.6395395, -8.6440708 40.6379555)"
